src,dest,EdgeType
0,4234,Gene-TRAN-Gene-PROT
1,4235,Gene-TRAN-Gene-PROT
2,4236,Gene-TRAN-Gene-PROT
3,4237,Gene-TRAN-Gene-PROT
4,4238,Gene-TRAN-Gene-PROT
5,4239,Gene-TRAN-Gene-PROT
6,4240,Gene-TRAN-Gene-PROT
7,4241,Gene-TRAN-Gene-PROT
8,4242,Gene-TRAN-Gene-PROT
9,4243,Gene-TRAN-Gene-PROT
10,4244,Gene-TRAN-Gene-PROT
11,4245,Gene-TRAN-Gene-PROT
12,4246,Gene-TRAN-Gene-PROT
13,4247,Gene-TRAN-Gene-PROT
14,4248,Gene-TRAN-Gene-PROT
15,4249,Gene-TRAN-Gene-PROT
16,4250,Gene-TRAN-Gene-PROT
17,4251,Gene-TRAN-Gene-PROT
18,4252,Gene-TRAN-Gene-PROT
19,4253,Gene-TRAN-Gene-PROT
20,4254,Gene-TRAN-Gene-PROT
21,4255,Gene-TRAN-Gene-PROT
22,4256,Gene-TRAN-Gene-PROT
23,4257,Gene-TRAN-Gene-PROT
24,4258,Gene-TRAN-Gene-PROT
25,4259,Gene-TRAN-Gene-PROT
26,4260,Gene-TRAN-Gene-PROT
27,4261,Gene-TRAN-Gene-PROT
28,4262,Gene-TRAN-Gene-PROT
29,4263,Gene-TRAN-Gene-PROT
30,4264,Gene-TRAN-Gene-PROT
31,4265,Gene-TRAN-Gene-PROT
32,4266,Gene-TRAN-Gene-PROT
33,4267,Gene-TRAN-Gene-PROT
34,4268,Gene-TRAN-Gene-PROT
35,4269,Gene-TRAN-Gene-PROT
36,4270,Gene-TRAN-Gene-PROT
37,4271,Gene-TRAN-Gene-PROT
38,4272,Gene-TRAN-Gene-PROT
39,4273,Gene-TRAN-Gene-PROT
40,4274,Gene-TRAN-Gene-PROT
41,4275,Gene-TRAN-Gene-PROT
42,4276,Gene-TRAN-Gene-PROT
43,4277,Gene-TRAN-Gene-PROT
44,4278,Gene-TRAN-Gene-PROT
45,4279,Gene-TRAN-Gene-PROT
46,4280,Gene-TRAN-Gene-PROT
47,4281,Gene-TRAN-Gene-PROT
48,4282,Gene-TRAN-Gene-PROT
49,4283,Gene-TRAN-Gene-PROT
50,4284,Gene-TRAN-Gene-PROT
51,4285,Gene-TRAN-Gene-PROT
52,4286,Gene-TRAN-Gene-PROT
53,4287,Gene-TRAN-Gene-PROT
54,4288,Gene-TRAN-Gene-PROT
55,4289,Gene-TRAN-Gene-PROT
56,4290,Gene-TRAN-Gene-PROT
57,4291,Gene-TRAN-Gene-PROT
58,4292,Gene-TRAN-Gene-PROT
59,4293,Gene-TRAN-Gene-PROT
60,4294,Gene-TRAN-Gene-PROT
61,4295,Gene-TRAN-Gene-PROT
62,4296,Gene-TRAN-Gene-PROT
63,4297,Gene-TRAN-Gene-PROT
64,4298,Gene-TRAN-Gene-PROT
65,4299,Gene-TRAN-Gene-PROT
66,4300,Gene-TRAN-Gene-PROT
67,4301,Gene-TRAN-Gene-PROT
68,4302,Gene-TRAN-Gene-PROT
69,4303,Gene-TRAN-Gene-PROT
70,4304,Gene-TRAN-Gene-PROT
71,4305,Gene-TRAN-Gene-PROT
72,4306,Gene-TRAN-Gene-PROT
73,4307,Gene-TRAN-Gene-PROT
74,4308,Gene-TRAN-Gene-PROT
75,4309,Gene-TRAN-Gene-PROT
76,4310,Gene-TRAN-Gene-PROT
77,4311,Gene-TRAN-Gene-PROT
78,4312,Gene-TRAN-Gene-PROT
79,4313,Gene-TRAN-Gene-PROT
80,4314,Gene-TRAN-Gene-PROT
81,4315,Gene-TRAN-Gene-PROT
82,4316,Gene-TRAN-Gene-PROT
83,4317,Gene-TRAN-Gene-PROT
84,4318,Gene-TRAN-Gene-PROT
85,4319,Gene-TRAN-Gene-PROT
86,4320,Gene-TRAN-Gene-PROT
87,4321,Gene-TRAN-Gene-PROT
88,4322,Gene-TRAN-Gene-PROT
89,4323,Gene-TRAN-Gene-PROT
90,4324,Gene-TRAN-Gene-PROT
91,4325,Gene-TRAN-Gene-PROT
