Gene_num,Gene_name,NodeType,Textual_gene_name
0,ABL1-TRAN,Gene-TRAN,ABL1
1,ABL2-TRAN,Gene-TRAN,ABL2
2,ACAA1-TRAN,Gene-TRAN,ACAA1
3,ACACA-TRAN,Gene-TRAN,ACACA
4,ACACB-TRAN,Gene-TRAN,ACACB
5,ACADL-TRAN,Gene-TRAN,ACADL
6,ACADM-TRAN,Gene-TRAN,ACADM
7,ACOX1-TRAN,Gene-TRAN,ACOX1
8,ACOX2-TRAN,Gene-TRAN,ACOX2
9,ACOX3-TRAN,Gene-TRAN,ACOX3
10,ACSBG1-TRAN,Gene-TRAN,ACSBG1
11,ACSBG2-TRAN,Gene-TRAN,ACSBG2
12,ACSL1-TRAN,Gene-TRAN,ACSL1
13,ACSL3-TRAN,Gene-TRAN,ACSL3
14,ACSL4-TRAN,Gene-TRAN,ACSL4
15,ACSL5-TRAN,Gene-TRAN,ACSL5
16,ACSL6-TRAN,Gene-TRAN,ACSL6
17,ACTA2-TRAN,Gene-TRAN,ACTA2
18,ACTB-TRAN,Gene-TRAN,ACTB
19,ACTG1-TRAN,Gene-TRAN,ACTG1
20,ACVR1-TRAN,Gene-TRAN,ACVR1
21,ACVR1B-TRAN,Gene-TRAN,ACVR1B
22,ACVR1C-TRAN,Gene-TRAN,ACVR1C
23,ACVR2A-TRAN,Gene-TRAN,ACVR2A
24,ACVR2B-TRAN,Gene-TRAN,ACVR2B
25,ADAM17-TRAN,Gene-TRAN,ADAM17
26,ADCY1-TRAN,Gene-TRAN,ADCY1
27,ADCY10-TRAN,Gene-TRAN,ADCY10
28,ADCY2-TRAN,Gene-TRAN,ADCY2
29,ADCY3-TRAN,Gene-TRAN,ADCY3
30,ADCY4-TRAN,Gene-TRAN,ADCY4
31,ADCY5-TRAN,Gene-TRAN,ADCY5
32,ADCY6-TRAN,Gene-TRAN,ADCY6
33,ADCY7-TRAN,Gene-TRAN,ADCY7
34,ADCY8-TRAN,Gene-TRAN,ADCY8
35,ADCY9-TRAN,Gene-TRAN,ADCY9
36,ADCYAP1-TRAN,Gene-TRAN,ADCYAP1
37,ADCYAP1R1-TRAN,Gene-TRAN,ADCYAP1R1
38,ADGRB1-TRAN,Gene-TRAN,ADGRB1
39,ADIPOQ-TRAN,Gene-TRAN,ADIPOQ
40,ADIPOR1-TRAN,Gene-TRAN,ADIPOR1
41,ADIPOR2-TRAN,Gene-TRAN,ADIPOR2
42,ADORA1-TRAN,Gene-TRAN,ADORA1
43,ADORA2A-TRAN,Gene-TRAN,ADORA2A
44,ADORA2B-TRAN,Gene-TRAN,ADORA2B
45,ADORA3-TRAN,Gene-TRAN,ADORA3
46,ADRA1A-TRAN,Gene-TRAN,ADRA1A
47,ADRA1B-TRAN,Gene-TRAN,ADRA1B
48,ADRA1D-TRAN,Gene-TRAN,ADRA1D
49,ADRA2A-TRAN,Gene-TRAN,ADRA2A
50,ADRA2B-TRAN,Gene-TRAN,ADRA2B
51,ADRA2C-TRAN,Gene-TRAN,ADRA2C
52,ADRB1-TRAN,Gene-TRAN,ADRB1
53,ADRB2-TRAN,Gene-TRAN,ADRB2
54,ADRB3-TRAN,Gene-TRAN,ADRB3
55,AFP-TRAN,Gene-TRAN,AFP
56,AGAP2-TRAN,Gene-TRAN,AGAP2
57,AGER-TRAN,Gene-TRAN,AGER
58,AGRP-TRAN,Gene-TRAN,AGRP
59,AGT-TRAN,Gene-TRAN,AGT
60,AGTR1-TRAN,Gene-TRAN,AGTR1
61,AIFM2-TRAN,Gene-TRAN,AIFM2
62,AIM2-TRAN,Gene-TRAN,AIM2
63,AJUBA-TRAN,Gene-TRAN,AJUBA
64,AKT1-TRAN,Gene-TRAN,AKT1
65,AKT1S1-TRAN,Gene-TRAN,AKT1S1
66,AKT2-TRAN,Gene-TRAN,AKT2
67,AKT3-TRAN,Gene-TRAN,AKT3
68,ALDOA-TRAN,Gene-TRAN,ALDOA
69,ALDOB-TRAN,Gene-TRAN,ALDOB
70,ALDOC-TRAN,Gene-TRAN,ALDOC
71,AMH-TRAN,Gene-TRAN,AMH
72,AMHR2-TRAN,Gene-TRAN,AMHR2
73,AMOT-TRAN,Gene-TRAN,AMOT
74,ANAPC5-TRAN,Gene-TRAN,ANAPC5
75,ANGPT1-TRAN,Gene-TRAN,ANGPT1
76,ANGPT2-TRAN,Gene-TRAN,ANGPT2
77,ANGPT4-TRAN,Gene-TRAN,ANGPT4
78,ANGPTL4-TRAN,Gene-TRAN,ANGPTL4
79,AOX1-TRAN,Gene-TRAN,AOX1
80,APAF1-TRAN,Gene-TRAN,APAF1
81,APBB1IP-TRAN,Gene-TRAN,APBB1IP
82,APC-TRAN,Gene-TRAN,APC
83,APC2-TRAN,Gene-TRAN,APC2
84,APH1A-TRAN,Gene-TRAN,APH1A
85,APH1B-TRAN,Gene-TRAN,APH1B
86,APLN-TRAN,Gene-TRAN,APLN
87,APLNR-TRAN,Gene-TRAN,APLNR
88,APOA1-TRAN,Gene-TRAN,APOA1
89,APOA2-TRAN,Gene-TRAN,APOA2
90,APOA5-TRAN,Gene-TRAN,APOA5
91,APOC3-TRAN,Gene-TRAN,APOC3
92,AQP7-TRAN,Gene-TRAN,AQP7
93,ARAF-TRAN,Gene-TRAN,ARAF
94,ARAP3-TRAN,Gene-TRAN,ARAP3
95,AREG-TRAN,Gene-TRAN,AREG
96,ARF1-TRAN,Gene-TRAN,ARF1
97,ARF6-TRAN,Gene-TRAN,ARF6
98,ARHGDIA-TRAN,Gene-TRAN,ARHGDIA
99,ARHGDIB-TRAN,Gene-TRAN,ARHGDIB
100,ARHGDIG-TRAN,Gene-TRAN,ARHGDIG
101,ARHGEF12-TRAN,Gene-TRAN,ARHGEF12
102,ARNT-TRAN,Gene-TRAN,ARNT
103,ARRB1-TRAN,Gene-TRAN,ARRB1
104,ARRB2-TRAN,Gene-TRAN,ARRB2
105,ASPH-TRAN,Gene-TRAN,ASPH
106,ATF2-TRAN,Gene-TRAN,ATF2
107,ATF4-TRAN,Gene-TRAN,ATF4
