src,dest,EdgeType,Textual_edge_type
ABL1-TRAN,ABL1-METH,Gene-TRAN-Gene-METH,promoting transcription
ABL1-TRAN,ABL1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ABL2-TRAN,ABL2-METH,Gene-TRAN-Gene-METH,promoting transcription
ABL2-TRAN,ABL2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACAA1-TRAN,ACAA1-METH,Gene-TRAN-Gene-METH,promoting transcription
ACAA1-TRAN,ACAA1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACACA-TRAN,ACACA-METH,Gene-TRAN-Gene-METH,promoting transcription
ACACA-TRAN,ACACA-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACACB-TRAN,ACACB-METH,Gene-TRAN-Gene-METH,promoting transcription
ACACB-TRAN,ACACB-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACADL-TRAN,ACADL-METH,Gene-TRAN-Gene-METH,promoting transcription
ACADL-TRAN,ACADL-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACADM-TRAN,ACADM-METH,Gene-TRAN-Gene-METH,promoting transcription
ACADM-TRAN,ACADM-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACOX1-TRAN,ACOX1-METH,Gene-TRAN-Gene-METH,promoting transcription
ACOX1-TRAN,ACOX1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACOX2-TRAN,ACOX2-METH,Gene-TRAN-Gene-METH,promoting transcription
ACOX2-TRAN,ACOX2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACOX3-TRAN,ACOX3-METH,Gene-TRAN-Gene-METH,promoting transcription
ACOX3-TRAN,ACOX3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACSBG1-TRAN,ACSBG1-METH,Gene-TRAN-Gene-METH,promoting transcription
ACSBG1-TRAN,ACSBG1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACSBG2-TRAN,ACSBG2-METH,Gene-TRAN-Gene-METH,promoting transcription
ACSBG2-TRAN,ACSBG2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACSL1-TRAN,ACSL1-METH,Gene-TRAN-Gene-METH,promoting transcription
ACSL1-TRAN,ACSL1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACSL3-TRAN,ACSL3-METH,Gene-TRAN-Gene-METH,promoting transcription
ACSL3-TRAN,ACSL3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACSL4-TRAN,ACSL4-METH,Gene-TRAN-Gene-METH,promoting transcription
ACSL4-TRAN,ACSL4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACSL5-TRAN,ACSL5-METH,Gene-TRAN-Gene-METH,promoting transcription
ACSL5-TRAN,ACSL5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACSL6-TRAN,ACSL6-METH,Gene-TRAN-Gene-METH,promoting transcription
ACSL6-TRAN,ACSL6-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACTA2-TRAN,ACTA2-METH,Gene-TRAN-Gene-METH,promoting transcription
ACTA2-TRAN,ACTA2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACTB-TRAN,ACTB-METH,Gene-TRAN-Gene-METH,promoting transcription
ACTB-TRAN,ACTB-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACTG1-TRAN,ACTG1-METH,Gene-TRAN-Gene-METH,promoting transcription
ACTG1-TRAN,ACTG1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACVR1-TRAN,ACVR1-METH,Gene-TRAN-Gene-METH,promoting transcription
ACVR1-TRAN,ACVR1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACVR1B-TRAN,ACVR1B-METH,Gene-TRAN-Gene-METH,promoting transcription
ACVR1B-TRAN,ACVR1B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACVR1C-TRAN,ACVR1C-METH,Gene-TRAN-Gene-METH,promoting transcription
