src,dest,EdgeType,Textual_edge_type
0,2117,Gene-TRAN-Gene-METH,promoting transcription
0,4234,Gene-TRAN-Gene-PROT,transcripting protein
1,2118,Gene-TRAN-Gene-METH,promoting transcription
1,4235,Gene-TRAN-Gene-PROT,transcripting protein
2,2119,Gene-TRAN-Gene-METH,promoting transcription
2,4236,Gene-TRAN-Gene-PROT,transcripting protein
3,2120,Gene-TRAN-Gene-METH,promoting transcription
3,4237,Gene-TRAN-Gene-PROT,transcripting protein
4,2121,Gene-TRAN-Gene-METH,promoting transcription
4,4238,Gene-TRAN-Gene-PROT,transcripting protein
5,2122,Gene-TRAN-Gene-METH,promoting transcription
5,4239,Gene-TRAN-Gene-PROT,transcripting protein
6,2123,Gene-TRAN-Gene-METH,promoting transcription
6,4240,Gene-TRAN-Gene-PROT,transcripting protein
7,2124,Gene-TRAN-Gene-METH,promoting transcription
7,4241,Gene-TRAN-Gene-PROT,transcripting protein
8,2125,Gene-TRAN-Gene-METH,promoting transcription
8,4242,Gene-TRAN-Gene-PROT,transcripting protein
9,2126,Gene-TRAN-Gene-METH,promoting transcription
9,4243,Gene-TRAN-Gene-PROT,transcripting protein
10,2127,Gene-TRAN-Gene-METH,promoting transcription
10,4244,Gene-TRAN-Gene-PROT,transcripting protein
11,2128,Gene-TRAN-Gene-METH,promoting transcription
11,4245,Gene-TRAN-Gene-PROT,transcripting protein
12,2129,Gene-TRAN-Gene-METH,promoting transcription
12,4246,Gene-TRAN-Gene-PROT,transcripting protein
13,2130,Gene-TRAN-Gene-METH,promoting transcription
13,4247,Gene-TRAN-Gene-PROT,transcripting protein
14,2131,Gene-TRAN-Gene-METH,promoting transcription
14,4248,Gene-TRAN-Gene-PROT,transcripting protein
15,2132,Gene-TRAN-Gene-METH,promoting transcription
15,4249,Gene-TRAN-Gene-PROT,transcripting protein
16,2133,Gene-TRAN-Gene-METH,promoting transcription
16,4250,Gene-TRAN-Gene-PROT,transcripting protein
17,2134,Gene-TRAN-Gene-METH,promoting transcription
17,4251,Gene-TRAN-Gene-PROT,transcripting protein
18,2135,Gene-TRAN-Gene-METH,promoting transcription
18,4252,Gene-TRAN-Gene-PROT,transcripting protein
19,2136,Gene-TRAN-Gene-METH,promoting transcription
19,4253,Gene-TRAN-Gene-PROT,transcripting protein
20,2137,Gene-TRAN-Gene-METH,promoting transcription
20,4254,Gene-TRAN-Gene-PROT,transcripting protein
21,2138,Gene-TRAN-Gene-METH,promoting transcription
21,4255,Gene-TRAN-Gene-PROT,transcripting protein
22,2139,Gene-TRAN-Gene-METH,promoting transcription
22,4256,Gene-TRAN-Gene-PROT,transcripting protein
23,2140,Gene-TRAN-Gene-METH,promoting transcription
23,4257,Gene-TRAN-Gene-PROT,transcripting protein
24,2141,Gene-TRAN-Gene-METH,promoting transcription
24,4258,Gene-TRAN-Gene-PROT,transcripting protein
25,2142,Gene-TRAN-Gene-METH,promoting transcription
25,4259,Gene-TRAN-Gene-PROT,transcripting protein
26,2143,Gene-TRAN-Gene-METH,promoting transcription
26,4260,Gene-TRAN-Gene-PROT,transcripting protein
27,2144,Gene-TRAN-Gene-METH,promoting transcription
27,4261,Gene-TRAN-Gene-PROT,transcripting protein
28,2145,Gene-TRAN-Gene-METH,promoting transcription
28,4262,Gene-TRAN-Gene-PROT,transcripting protein
29,2146,Gene-TRAN-Gene-METH,promoting transcription
29,4263,Gene-TRAN-Gene-PROT,transcripting protein
30,2147,Gene-TRAN-Gene-METH,promoting transcription
30,4264,Gene-TRAN-Gene-PROT,transcripting protein
31,2148,Gene-TRAN-Gene-METH,promoting transcription
31,4265,Gene-TRAN-Gene-PROT,transcripting protein
32,2149,Gene-TRAN-Gene-METH,promoting transcription
32,4266,Gene-TRAN-Gene-PROT,transcripting protein
33,2150,Gene-TRAN-Gene-METH,promoting transcription
33,4267,Gene-TRAN-Gene-PROT,transcripting protein
34,2151,Gene-TRAN-Gene-METH,promoting transcription
34,4268,Gene-TRAN-Gene-PROT,transcripting protein
35,2152,Gene-TRAN-Gene-METH,promoting transcription
35,4269,Gene-TRAN-Gene-PROT,transcripting protein
36,2153,Gene-TRAN-Gene-METH,promoting transcription
36,4270,Gene-TRAN-Gene-PROT,transcripting protein
37,2154,Gene-TRAN-Gene-METH,promoting transcription
37,4271,Gene-TRAN-Gene-PROT,transcripting protein
38,2155,Gene-TRAN-Gene-METH,promoting transcription
38,4272,Gene-TRAN-Gene-PROT,transcripting protein
39,2156,Gene-TRAN-Gene-METH,promoting transcription
39,4273,Gene-TRAN-Gene-PROT,transcripting protein
40,2157,Gene-TRAN-Gene-METH,promoting transcription
40,4274,Gene-TRAN-Gene-PROT,transcripting protein
41,2158,Gene-TRAN-Gene-METH,promoting transcription
41,4275,Gene-TRAN-Gene-PROT,transcripting protein
42,2159,Gene-TRAN-Gene-METH,promoting transcription
42,4276,Gene-TRAN-Gene-PROT,transcripting protein
43,2160,Gene-TRAN-Gene-METH,promoting transcription
43,4277,Gene-TRAN-Gene-PROT,transcripting protein
44,2161,Gene-TRAN-Gene-METH,promoting transcription
44,4278,Gene-TRAN-Gene-PROT,transcripting protein
45,2162,Gene-TRAN-Gene-METH,promoting transcription
45,4279,Gene-TRAN-Gene-PROT,transcripting protein
46,2163,Gene-TRAN-Gene-METH,promoting transcription
46,4280,Gene-TRAN-Gene-PROT,transcripting protein
47,2164,Gene-TRAN-Gene-METH,promoting transcription
47,4281,Gene-TRAN-Gene-PROT,transcripting protein
48,2165,Gene-TRAN-Gene-METH,promoting transcription
48,4282,Gene-TRAN-Gene-PROT,transcripting protein
49,2166,Gene-TRAN-Gene-METH,promoting transcription
49,4283,Gene-TRAN-Gene-PROT,transcripting protein
50,2167,Gene-TRAN-Gene-METH,promoting transcription
50,4284,Gene-TRAN-Gene-PROT,transcripting protein
51,2168,Gene-TRAN-Gene-METH,promoting transcription
51,4285,Gene-TRAN-Gene-PROT,transcripting protein
52,2169,Gene-TRAN-Gene-METH,promoting transcription
52,4286,Gene-TRAN-Gene-PROT,transcripting protein
53,2170,Gene-TRAN-Gene-METH,promoting transcription
53,4287,Gene-TRAN-Gene-PROT,transcripting protein
54,2171,Gene-TRAN-Gene-METH,promoting transcription
54,4288,Gene-TRAN-Gene-PROT,transcripting protein
55,2172,Gene-TRAN-Gene-METH,promoting transcription
55,4289,Gene-TRAN-Gene-PROT,transcripting protein
56,2173,Gene-TRAN-Gene-METH,promoting transcription
56,4290,Gene-TRAN-Gene-PROT,transcripting protein
57,2174,Gene-TRAN-Gene-METH,promoting transcription
57,4291,Gene-TRAN-Gene-PROT,transcripting protein
58,2175,Gene-TRAN-Gene-METH,promoting transcription
58,4292,Gene-TRAN-Gene-PROT,transcripting protein
59,2176,Gene-TRAN-Gene-METH,promoting transcription
59,4293,Gene-TRAN-Gene-PROT,transcripting protein
60,2177,Gene-TRAN-Gene-METH,promoting transcription
60,4294,Gene-TRAN-Gene-PROT,transcripting protein
61,2178,Gene-TRAN-Gene-METH,promoting transcription
61,4295,Gene-TRAN-Gene-PROT,transcripting protein
62,2179,Gene-TRAN-Gene-METH,promoting transcription
62,4296,Gene-TRAN-Gene-PROT,transcripting protein
63,2180,Gene-TRAN-Gene-METH,promoting transcription
63,4297,Gene-TRAN-Gene-PROT,transcripting protein
64,2181,Gene-TRAN-Gene-METH,promoting transcription
64,4298,Gene-TRAN-Gene-PROT,transcripting protein
65,2182,Gene-TRAN-Gene-METH,promoting transcription
65,4299,Gene-TRAN-Gene-PROT,transcripting protein
66,2183,Gene-TRAN-Gene-METH,promoting transcription
66,4300,Gene-TRAN-Gene-PROT,transcripting protein
67,2184,Gene-TRAN-Gene-METH,promoting transcription
67,4301,Gene-TRAN-Gene-PROT,transcripting protein
68,2185,Gene-TRAN-Gene-METH,promoting transcription
68,4302,Gene-TRAN-Gene-PROT,transcripting protein
69,2186,Gene-TRAN-Gene-METH,promoting transcription
69,4303,Gene-TRAN-Gene-PROT,transcripting protein
70,2187,Gene-TRAN-Gene-METH,promoting transcription
70,4304,Gene-TRAN-Gene-PROT,transcripting protein
71,2188,Gene-TRAN-Gene-METH,promoting transcription
71,4305,Gene-TRAN-Gene-PROT,transcripting protein
72,2189,Gene-TRAN-Gene-METH,promoting transcription
72,4306,Gene-TRAN-Gene-PROT,transcripting protein
73,2190,Gene-TRAN-Gene-METH,promoting transcription
73,4307,Gene-TRAN-Gene-PROT,transcripting protein
74,2191,Gene-TRAN-Gene-METH,promoting transcription
74,4308,Gene-TRAN-Gene-PROT,transcripting protein
75,2192,Gene-TRAN-Gene-METH,promoting transcription
75,4309,Gene-TRAN-Gene-PROT,transcripting protein
76,2193,Gene-TRAN-Gene-METH,promoting transcription
76,4310,Gene-TRAN-Gene-PROT,transcripting protein
77,2194,Gene-TRAN-Gene-METH,promoting transcription
77,4311,Gene-TRAN-Gene-PROT,transcripting protein
78,2195,Gene-TRAN-Gene-METH,promoting transcription
78,4312,Gene-TRAN-Gene-PROT,transcripting protein
79,2196,Gene-TRAN-Gene-METH,promoting transcription
79,4313,Gene-TRAN-Gene-PROT,transcripting protein
80,2197,Gene-TRAN-Gene-METH,promoting transcription
80,4314,Gene-TRAN-Gene-PROT,transcripting protein
81,2198,Gene-TRAN-Gene-METH,promoting transcription
81,4315,Gene-TRAN-Gene-PROT,transcripting protein
82,2199,Gene-TRAN-Gene-METH,promoting transcription
82,4316,Gene-TRAN-Gene-PROT,transcripting protein
83,2200,Gene-TRAN-Gene-METH,promoting transcription
83,4317,Gene-TRAN-Gene-PROT,transcripting protein
84,2201,Gene-TRAN-Gene-METH,promoting transcription
84,4318,Gene-TRAN-Gene-PROT,transcripting protein
85,2202,Gene-TRAN-Gene-METH,promoting transcription
85,4319,Gene-TRAN-Gene-PROT,transcripting protein
86,2203,Gene-TRAN-Gene-METH,promoting transcription
86,4320,Gene-TRAN-Gene-PROT,transcripting protein
87,2204,Gene-TRAN-Gene-METH,promoting transcription
87,4321,Gene-TRAN-Gene-PROT,transcripting protein
88,2205,Gene-TRAN-Gene-METH,promoting transcription
88,4322,Gene-TRAN-Gene-PROT,transcripting protein
89,2206,Gene-TRAN-Gene-METH,promoting transcription
89,4323,Gene-TRAN-Gene-PROT,transcripting protein
90,2207,Gene-TRAN-Gene-METH,promoting transcription
90,4324,Gene-TRAN-Gene-PROT,transcripting protein
91,2208,Gene-TRAN-Gene-METH,promoting transcription
91,4325,Gene-TRAN-Gene-PROT,transcripting protein
92,2209,Gene-TRAN-Gene-METH,promoting transcription
92,4326,Gene-TRAN-Gene-PROT,transcripting protein
93,2210,Gene-TRAN-Gene-METH,promoting transcription
93,4327,Gene-TRAN-Gene-PROT,transcripting protein
94,2211,Gene-TRAN-Gene-METH,promoting transcription
94,4328,Gene-TRAN-Gene-PROT,transcripting protein
95,2212,Gene-TRAN-Gene-METH,promoting transcription
95,4329,Gene-TRAN-Gene-PROT,transcripting protein
96,2213,Gene-TRAN-Gene-METH,promoting transcription
96,4330,Gene-TRAN-Gene-PROT,transcripting protein
97,2214,Gene-TRAN-Gene-METH,promoting transcription
97,4331,Gene-TRAN-Gene-PROT,transcripting protein
98,2215,Gene-TRAN-Gene-METH,promoting transcription
98,4332,Gene-TRAN-Gene-PROT,transcripting protein
99,2216,Gene-TRAN-Gene-METH,promoting transcription
99,4333,Gene-TRAN-Gene-PROT,transcripting protein
100,2217,Gene-TRAN-Gene-METH,promoting transcription
100,4334,Gene-TRAN-Gene-PROT,transcripting protein
101,2218,Gene-TRAN-Gene-METH,promoting transcription
101,4335,Gene-TRAN-Gene-PROT,transcripting protein
